x,Up_V,Un_V,OCV_V,Up_nd,Un_nd,OCV_nd
0.06287600,4.62667163,0.56604958,4.06062205,180.16877444,22.04272682,158.12604761
0.06337500,4.62625131,0.56266664,4.06358467,180.15240647,21.91099051,158.24141596
0.06387400,4.62583075,0.55934267,4.06648808,180.13602937,21.78155091,158.35447845
0.06437300,4.62540995,0.55607635,4.06933360,180.11964299,21.65435607,158.46528692
0.06487200,4.62498891,0.55286636,4.07212255,180.10324721,21.52935487,158.57389234
0.06537100,4.62456763,0.54971142,4.07485621,180.08684190,21.40649699,158.68034490
0.06587000,4.62414610,0.54661024,4.07753586,180.07042692,21.28573294,158.78469398
0.06636900,4.62372432,0.54356158,4.08016274,180.05400215,21.16701398,158.88698817
0.06686800,4.62330228,0.54056420,4.08273808,180.03756744,21.05029212,158.98727532
0.06736700,4.62287998,0.53761689,4.08526309,180.02112267,20.93552013,159.08560254
0.06786600,4.62245743,0.53471847,4.08773896,180.00466768,20.82265148,159.18201620
0.06836500,4.62203460,0.53186774,4.09016686,179.98820235,20.71164038,159.27656197
0.06886400,4.62161151,0.52906356,4.09254795,179.97172652,20.60244169,159.36928483
0.06936300,4.62118814,0.52630477,4.09488337,179.95524005,20.49501097,159.46022908
0.06986200,4.62076450,0.52359026,4.09717423,179.93874280,20.38930442,159.54943838
0.07036100,4.62034057,0.52091893,4.09942165,179.92223461,20.28527889,159.63695572
0.07086000,4.61991636,0.51828966,4.10162670,179.90571534,20.18289186,159.72282348
0.07135900,4.61949187,0.51570140,4.10379047,179.88918483,20.08210142,159.80708341
0.07185800,4.61906708,0.51315307,4.10591400,179.87264293,19.98286625,159.88977668
0.07235700,4.61864199,0.51064364,4.10799835,179.85608948,19.88514564,159.97094385
0.07285600,4.61821660,0.50817207,4.11004453,179.83952432,19.78889941,160.05062491
0.07335500,4.61779091,0.50573735,4.11205356,179.82294729,19.69408798,160.12885931
0.07385400,4.61736491,0.50333847,4.11402644,179.80635823,19.60067230,160.20568593
0.07435300,4.61693859,0.50097444,4.11596416,179.78975697,19.50861385,160.28114312
0.07485200,4.61651196,0.49864429,4.11786768,179.77314334,19.41787464,160.35526870
0.07535100,4.61608501,0.49634705,4.11973796,179.75651718,19.32841719,160.42809999
0.07585000,4.61565773,0.49408178,4.12157595,179.73987830,19.24020452,160.49967378
0.07634900,4.61523012,0.49184754,4.12338258,179.72322655,19.15320015,160.57002639
0.07684800,4.61480217,0.48964340,4.12515877,179.70656173,19.06736808,160.63919365
0.07734700,4.61437388,0.48746845,4.12690543,179.68988368,18.98267278,160.70721090
0.07784600,4.61394525,0.48532180,4.12862345,179.67319220,18.89907917,160.77411303
0.07834500,4.61351627,0.48320255,4.13031372,179.65648712,18.81655267,160.83993445
0.07884400,4.61308694,0.48110982,4.13197712,179.63976825,18.73505909,160.90470916
0.07934300,4.61265724,0.47904275,4.13361449,179.62303539,18.65456473,160.96847066
0.07984200,4.61222718,0.47700049,4.13522669,179.60628837,18.57503631,161.03125206
0.08034100,4.61179676,0.47498219,4.13681457,179.58952698,18.49644098,161.09308600
0.08084000,4.61136596,0.47298702,4.13837894,179.57275103,18.41874630,161.15400473
0.08133900,4.61093478,0.47101415,4.13992063,179.55596031,18.34192027,161.21404004
0.08183800,4.61050321,0.46906278,4.14144043,179.53915464,18.26593130,161.27322333
0.08233700,4.61007126,0.46713210,4.14293916,179.52233379,18.19074821,161.33158559
0.08283600,4.60963891,0.46522133,4.14441758,179.50549757,18.11634022,161.38915736
0.08333500,4.60920616,0.46332969,4.14587648,179.48864577,18.04267696,161.44596881
0.08383400,4.60877301,0.46145639,4.14731661,179.47177817,17.96972848,161.50204969
0.08433300,4.60833944,0.45960070,4.14873874,179.45489456,17.89746522,161.55742934
0.08483200,4.60790546,0.45776185,4.15014361,179.43799472,17.82585801,161.61213670
0.08533100,4.60747106,0.45593911,4.15153195,179.42107842,17.75487811,161.66620031
0.08583000,4.60703622,0.45413175,4.15290447,179.40414545,17.68449717,161.71964828
0.08632900,4.60660096,0.45233906,4.15426190,179.38719558,17.61468723,161.77250835
0.08682800,4.60616525,0.45056032,4.15560493,179.37022857,17.54542076,161.82480781
0.08732700,4.60572910,0.44879484,4.15693426,179.35324420,17.47667062,161.87657357
0.08782600,4.60529249,0.44704193,4.15825056,179.33624222,17.40841011,161.92783211
0.08832500,4.60485543,0.44530092,4.15955450,179.31922241,17.34061292,161.97860949
0.08882400,4.60441790,0.44357115,4.16084675,179.30218451,17.27325317,162.02893134
0.08932300,4.60397990,0.44185195,4.16212795,179.28512828,17.20630542,162.07882287
0.08982200,4.60354143,0.44014270,4.16339873,179.26805348,17.13974463,162.12830885
0.09032100,4.60310247,0.43844275,4.16465973,179.25095985,17.07354624,162.17741361
0.09082000,4.60266302,0.43675148,4.16591154,179.23384713,17.00768612,162.22616102
0.09131900,4.60222308,0.43506829,4.16715478,179.21671508,16.94214058,162.27457450
0.09181800,4.60178263,0.43339259,4.16839004,179.19956341,16.87688642,162.32267699
0.09231700,4.60134167,0.43172378,4.16961789,179.18239188,16.81190090,162.37049098
0.09281600,4.60090019,0.43006131,4.17083889,179.16520021,16.74716177,162.41803844
0.09331500,4.60045819,0.42840460,4.17205360,179.14798814,16.68264727,162.46534086
0.09381400,4.60001566,0.42675311,4.17326255,179.13075537,16.61833614,162.51241923
0.09431300,4.59957259,0.42510631,4.17446628,179.11350164,16.55420765,162.55929399
0.09481200,4.59912898,0.42346368,4.17566529,179.09622666,16.49024158,162.60598508
0.09531100,4.59868481,0.42182472,4.17686008,179.07893015,16.42641828,162.65251187
0.09581000,4.59824008,0.42018894,4.17805114,179.06161182,16.36271863,162.69889318
0.09630900,4.59779478,0.41855585,4.17923893,179.04427136,16.29912410,162.74514726
0.09680800,4.59734891,0.41692501,4.18042390,179.02690849,16.23561672,162.79129178
0.09730700,4.59690245,0.41529595,4.18160650,179.00952291,16.17217913,162.83734378
0.09780600,4.59645541,0.41366826,4.18278715,178.99211430,16.10879459,162.88331971
0.09830500,4.59600776,0.41204151,4.18396625,178.97468236,16.04544697,162.92923539
0.09880400,4.59555951,0.41041532,4.18514419,178.95722677,15.98212079,162.97510598
0.09930300,4.59511064,0.40878929,4.18632134,178.93974722,15.91880123,163.02094599
0.09980200,4.59466115,0.40716308,4.18749807,178.92224339,15.85547414,163.06676925
0.10030100,4.59421102,0.40553632,4.18867470,178.90471494,15.79212605,163.11258889
0.10080000,4.59376026,0.40390870,4.18985156,178.88716156,15.72874421,163.15841735
0.10129900,4.59330884,0.40227990,4.19102895,178.86958290,15.66531657,163.20426633
0.10179800,4.59285677,0.40064963,4.19220714,178.85197864,15.60183183,163.25014681
0.10229700,4.59240403,0.39901763,4.19338641,178.83434842,15.53827942,163.29606900
0.10279600,4.59195062,0.39738363,4.19456699,178.81669190,15.47464953,163.34204237
0.10329500,4.59149652,0.39574742,4.19574911,178.79900873,15.41093315,163.38807558
