x,Up_V,Un_V,OCV_V
0.12874400,4.56717814,0.31049715,4.25668099
0.12924300,4.56667273,0.30892191,4.25775082
0.12974200,4.56616597,0.30735792,4.25880805
0.13024100,4.56565782,0.30580559,4.25985223
0.13074000,4.56514828,0.30426536,4.26088292
0.13123900,4.56463732,0.30273763,4.26189969
0.13173800,4.56412493,0.30122280,4.26290214
0.13223700,4.56361109,0.29972124,4.26388985
0.13273600,4.56309578,0.29823334,4.26486245
0.13323500,4.56257898,0.29675944,4.26581955
0.13373400,4.56206068,0.29529988,4.26676079
0.13423300,4.56154085,0.29385501,4.26768584
0.13473200,4.56101947,0.29242512,4.26859436
0.13523100,4.56049653,0.29101051,4.26948602
0.13573000,4.55997201,0.28961146,4.27036055
0.13622900,4.55944588,0.28822823,4.27121764
0.13672800,4.55891812,0.28686108,4.27205705
0.13722700,4.55838872,0.28551022,4.27287850
0.13772600,4.55785766,0.28417588,4.27368178
0.13822500,4.55732491,0.28285824,4.27446667
0.13872400,4.55679046,0.28155749,4.27523296
0.13922300,4.55625427,0.28027379,4.27598048
0.13972200,4.55571634,0.27900729,4.27670905
0.14022100,4.55517663,0.27775810,4.27741853
0.14072000,4.55463514,0.27652635,4.27810879
0.14121900,4.55409182,0.27531212,4.27877970
0.14171800,4.55354667,0.27411550,4.27943117
0.14221700,4.55299966,0.27293654,4.28006312
0.14271600,4.55245076,0.27177530,4.28067546
0.14321500,4.55189996,0.27063180,4.28126816
0.14371400,4.55134723,0.26950606,4.28184117
0.14421300,4.55079254,0.26839809,4.28239446
0.14471200,4.55023588,0.26730786,4.28292802
0.14521100,4.54967722,0.26623535,4.28344186
0.14571000,4.54911652,0.26518052,4.28393600
0.14620900,4.54855378,0.26414332,4.28441046
0.14670800,4.54798896,0.26312368,4.28486528
0.14720700,4.54742205,0.26212152,4.28530053
0.14770600,4.54685300,0.26113675,4.28571625
0.14820500,4.54628180,0.26016926,4.28611254
0.14870400,4.54570843,0.25921895,4.28648947
0.14920300,4.54513285,0.25828570,4.28684715
0.14970200,4.54455504,0.25736937,4.28718567
0.15020100,4.54397497,0.25646981,4.28750516
0.15070000,4.54339262,0.25558688,4.28780573
0.15119900,4.54280795,0.25472043,4.28808752
0.15169800,4.54222095,0.25387027,4.28835067
0.15219700,4.54163158,0.25303625,4.28859533
0.15269600,4.54103981,0.25221818,4.28882164
0.15319500,4.54044562,0.25141586,4.28902976
0.15369400,4.53984898,0.25062912,4.28921986
0.15419300,4.53924986,0.24985774,4.28939211
0.15469200,4.53864822,0.24910154,4.28954668
0.15519100,4.53804405,0.24836029,4.28968376
0.15569000,4.53743730,0.24763379,4.28980351
0.15618900,4.53682796,0.24692182,4.28990614
0.15668800,4.53621598,0.24622416,4.28999182
0.15718700,4.53560135,0.24554060,4.29006075
0.15768600,4.53498402,0.24487090,4.29011313
0.15818500,4.53436397,0.24421483,4.29014914
0.15868400,4.53374117,0.24357218,4.29016899
0.15918300,4.53311558,0.24294271,4.29017287
0.15968200,4.53248717,0.24232618,4.29016099
0.16018100,4.53185591,0.24172237,4.29013354
0.16068000,4.53122177,0.24113104,4.29009073
0.16117900,4.53058471,0.24055196,4.29003275
0.16167800,4.52994471,0.23998490,4.28995981
0.16217700,4.52930172,0.23942961,4.28987211
0.16267600,4.52865571,0.23888587,4.28976984
0.16317500,4.52800666,0.23835345,4.28965321
0.16367400,4.52735452,0.23783211,4.28952241
0.16417300,4.52669926,0.23732162,4.28937764
0.16467200,4.52604085,0.23682176,4.28921909
0.16517100,4.52537925,0.23633229,4.28904696
0.16567000,4.52471442,0.23585299,4.28886143
0.16616900,4.52404633,0.23538363,4.28866271
0.16666800,4.52337495,0.23492399,4.28845096
0.16716700,4.52270024,0.23447384,4.28822639
0.16766600,4.52202215,0.23403298,4.28798917
0.16816500,4.52134066,0.23360118,4.28773948
0.16866400,4.52065573,0.23317822,4.28747751
0.16916300,4.51996732,0.23276391,4.28720341
0.16966200,4.51927539,0.23235801,4.28691738
0.17016100,4.51857990,0.23196033,4.28661957
