node_id,x,y
463,-0.00146323,-0.00450337
464,-0.00098575,-0.00463761
465,-0.00049623,-0.00472130
466,-0.00000000,-0.00475340
467,0.00049750,-0.00473342
468,0.00099082,-0.00466145
469,0.00147453,-0.00453814
470,0.00194330,-0.00436471
471,0.00239193,-0.00414295
472,0.00281547,-0.00387516
473,0.00320919,-0.00356416
474,0.00356869,-0.00321326
475,0.00388995,-0.00282621
476,0.00416933,-0.00240717
477,0.00440368,-0.00196064
478,0.00459029,-0.00149148
479,0.00472701,-0.00100476
480,0.00481220,-0.00050578
481,0.00484480,-0.00000000
482,0.00482432,0.00050706
483,0.00475085,0.00100982
484,0.00462506,0.00150277
485,0.00444821,0.00198047
486,0.00422210,0.00243763
487,0.00394910,0.00286919
488,0.00363209,0.00327034
489,0.00327442,0.00363661
490,0.00287994,0.00396389
491,0.00245287,0.00424849
492,0.00199782,0.00448718
493,0.00151972,0.00467722
494,0.00102376,0.00481641
495,0.00051534,0.00490310
496,0.00000000,0.00493620
497,-0.00051661,0.00491522
498,-0.00102883,0.00484025
499,-0.00153102,0.00471199
500,-0.00201765,0.00453171
501,-0.00248333,0.00430126
502,-0.00292291,0.00402305
503,-0.00333150,0.00370001
504,-0.00370454,0.00333558
505,-0.00403784,0.00293366
506,-0.00432764,0.00249857
507,-0.00457067,0.00203500
508,-0.00476415,0.00154797
509,-0.00490581,0.00104276
510,-0.00499400,0.00052489
511,-0.00502760,0.00000000
512,-0.00500612,-0.00052616
513,-0.00492966,-0.00104783
514,-0.00479892,-0.00155926
515,-0.00461521,-0.00205482
516,-0.00438041,-0.00252903
517,-0.00409699,-0.00297664
518,-0.00376793,-0.00339266
519,-0.00339674,-0.00377246
520,-0.00298738,-0.00411178
521,-0.00254427,-0.00440680
522,-0.00207217,-0.00465417
523,-0.00157621,-0.00485107
524,-0.00106177,-0.00499522
525,-0.00053444,-0.00508490
526,-0.00000000,-0.00511900
527,0.00053572,-0.00509702
528,0.00106683,-0.00501906
529,0.00158751,-0.00488584
530,0.00209200,-0.00469871
531,0.00257473,-0.00445957
532,0.00303036,-0.00417094
533,0.00345382,-0.00383586
534,0.00384038,-0.00345790
535,0.00418572,-0.00304111
536,0.00448595,-0.00258997
537,0.00473767,-0.00210935
538,0.00493800,-0.00160445
539,0.00508462,-0.00108077
540,0.00517580,-0.00054400
541,0.00521040,-0.00000000
542,0.00518792,0.00054527
543,0.00510846,0.00108584
544,0.00497277,0.00161575
545,0.00478220,0.00212917
546,0.00453872,0.00262043
547,0.00424488,0.00308409
548,0.00390378,0.00351498
549,0.00351906,0.00390831
550,0.00309483,0.00425967
551,0.00263567,0.00456511
552,0.00214652,0.00482117
553,0.00163270,0.00502493
554,0.00109977,0.00517402
555,0.00055355,0.00526670
556,0.00000000,0.00530180
557,-0.00055483,0.00527882
558,-0.00110484,0.00519786
559,-0.00164400,0.00505970
560,-0.00216635,0.00486570
561,-0.00266613,0.00461788
562,-0.00313781,0.00431882
563,-0.00357614,0.00397170
564,-0.00397623,0.00358021
565,-0.00433361,0.00314855
566,-0.00464426,0.00268137
567,-0.00490467,0.00218370
568,-0.00511185,0.00166094
569,-0.00526343,0.00111878
570,-0.00535760,0.00056311
571,-0.00539320,0.00000000
572,-0.00536972,-0.00056438
573,-0.00528727,-0.00112384
574,-0.00514662,-0.00167224
575,-0.00494920,-0.00220353
576,-0.00469703,-0.00271183
577,-0.00439277,-0.00319153
578,-0.00403963,-0.00363730
579,-0.00364137,-0.00404415
