coh_id,n1_bot,n2_bot,n4_top,n3_top,length,layer_idx
283,535,615,2138,2218,6.455807999999993e-8,1
284,615,695,2218,2298,6.455808000000004e-8,1
285,695,1576,2298,3179,7.171168412342756e-7,1
286,1576,1416,3179,3019,1.2911615999999992e-7,1
287,1416,1256,3019,2859,1.2911616000000019e-7,1
288,1256,1096,2859,2699,1.2911615999999997e-7,1
289,1096,936,2699,2539,1.2911616e-7,1
290,936,856,2539,2459,6.455807999999997e-8,1
291,856,776,2459,2379,6.455808000000009e-8,1
292,776,696,2379,2299,6.455807999999993e-8,1
293,696,616,2299,2219,6.455808e-8,1
294,616,536,2219,2139,6.455808e-8,1
295,536,456,2139,2059,6.455807999999993e-8,1
296,456,376,2059,1979,6.455808000000004e-8,1
297,376,296,1979,1899,6.455807999999997e-8,1
298,296,216,1899,1819,6.455808000000004e-8,1
299,216,136,1819,1739,6.455807999999996e-8,1
300,136,1656,1739,3259,1.2266035199999999e-6,1
301,1656,1496,3259,3099,1.2911615999999982e-7,1
302,1496,1336,3099,2939,1.2911616000000003e-7,1
303,1336,1176,2939,2779,1.2911616000000016e-7,1
304,1176,1016,2779,2619,1.2911616e-7,1
305,1016,1577,2619,3180,4.6511024474720995e-7,1
306,1577,1417,3180,3020,1.2911616000000005e-7,1
307,1417,1257,3020,2860,1.2911616000000019e-7,1
308,1257,1097,2860,2700,1.2911615999999995e-7,1
309,1097,937,2700,2540,1.2911616000000003e-7,1
310,937,777,2540,2380,1.2911615999999992e-7,1
311,777,617,2380,2220,1.2911616000000003e-7,1
312,617,1657,2220,3260,8.392550399999999e-7,1
313,1657,457,3260,2060,9.683711999999998e-7,1
314,457,377,2060,1980,6.455807999999997e-8,1
315,377,1497,1980,3100,9.038131200000001e-7,1
316,1497,297,3100,1900,9.683712e-7,1
317,297,217,1900,1820,6.455808e-8,1
318,217,1337,1820,2940,9.038131200000002e-7,1
319,1337,137,2940,1740,9.683712000000003e-7,1
320,137,1177,1740,2780,8.392550399999999e-7,1
321,1177,1017,2780,2620,1.2911616000000005e-7,1
322,1017,857,2620,2460,1.2911615999999995e-7,1
323,857,697,2460,2300,1.2911615999999995e-7,1
324,697,537,2300,2140,1.2911616000000003e-7,1
325,537,1578,2140,3181,8.445498375758791e-7,1
326,1578,1418,3181,3021,1.2911615999999997e-7,1
327,1418,1258,3021,2861,1.2911616000000027e-7,1
328,1258,1098,2861,2701,1.2911616e-7,1
329,1098,938,2701,2541,1.2911615999999995e-7,1
330,938,1658,2541,3261,5.8102272e-7,1
331,1658,1498,3261,3101,1.2911615999999984e-7,1
332,1498,1338,3101,2941,1.2911615999999995e-7,1
333,1338,1178,2941,2781,1.291161600000002e-7,1
334,1178,1018,2781,2621,1.2911615999999997e-7,1
335,1018,858,2621,2461,1.2911616e-7,1
336,858,778,2461,2381,6.455807999999997e-8,1
337,778,698,2381,2301,6.455808000000009e-8,1
338,698,618,2301,2221,6.455807999999993e-8,1
339,618,538,2221,2141,6.455808000000007e-8,1
340,538,458,2141,2061,6.455807999999992e-8,1
341,458,378,2061,1981,6.455807999999997e-8,1
342,378,298,1981,1901,6.455808000000001e-8,1
343,298,218,1901,1821,6.455808e-8,1
344,218,138,1821,1741,6.455808e-8,1
345,138,1659,1741,3262,1.2292640548551216e-6,1
346,1659,1499,3262,3102,1.2911616000000008e-7,1
347,1499,1339,3102,2942,1.2911616e-7,1
348,1339,1179,2942,2782,1.2911616000000005e-7,1
349,1179,1019,2782,2622,1.2911616000000003e-7,1
350,1019,859,2622,2462,1.2911615999999995e-7,1
351,859,779,2462,2382,6.455807999999996e-8,1
352,779,699,2382,2302,6.455808000000007e-8,1
353,699,619,2302,2222,6.455807999999992e-8,1
354,619,539,2222,2142,6.455807999999992e-8,1
355,539,459,2142,2062,6.455808000000009e-8,1
356,459,139,2062,1742,2.5823232e-7,1
357,139,379,1742,1982,1.9367424000000001e-7,1
358,379,1579,1982,3182,9.683712000000003e-7,1
359,1579,299,3182,1902,1.0329292800000002e-6,1
360,299,219,1902,1822,6.455808000000001e-8,1
361,219,1419,1822,3022,9.683712000000003e-7,1
362,1419,1259,3022,2862,1.291161600000002e-7,1
363,1259,1099,2862,2702,1.2911615999999997e-7,1
364,1099,939,2702,2542,1.2911616000000003e-7,1
365,939,1660,2542,3263,5.913873958495107e-7,1
366,1660,1500,3263,3103,1.2911616000000005e-7,1
367,1500,1340,3103,2943,1.2911616000000003e-7,1
368,1340,1180,2943,2783,1.291161600000001e-7,1
369,1180,1020,2783,2623,1.2911616e-7,1
370,1020,1580,2623,3183,4.519065600000001e-7,1
371,1580,1420,3183,3023,1.2911615999999987e-7,1
372,1420,1260,3023,2863,1.2911616000000019e-7,1
373,1260,1100,2863,2703,1.2911616e-7,1
374,1100,940,2703,2543,1.2911616e-7,1
375,940,220,2543,1823,5.8102272e-7,1
376,220,860,1823,2463,5.164646399999998e-7,1
377,860,140,2463,1743,5.810227199999999e-7,1
378,140,780,1743,2383,5.1646464e-7,1
379,780,700,2383,2303,6.455807999999991e-8,1
380,700,620,2303,2223,6.455808000000005e-8,1
381,620,540,2223,2143,6.455808000000005e-8,1
382,540,460,2143,2063,6.455808000000004e-8,1
383,460,380,2063,1983,6.455807999999996e-8,1
384,380,300,1983,1903,6.455807999999996e-8,1
385,300,1581,1903,3184,1.03647848608193e-6,1
386,1581,1421,3184,3024,1.2911616e-7,1
387,1421,1261,3024,2864,1.2911616000000013e-7,1
388,1261,1101,2864,2704,1.2911616e-7,1
389,1101,941,2704,2544,1.2911616e-7,1
390,941,861,2544,2464,6.455808e-8,1
391,861,781,2464,2384,6.455808e-8,1
392,781,701,2384,2304,6.455808e-8,1
393,701,621,2304,2224,6.455808e-8,1
394,621,541,2224,2144,6.455808e-8,1
395,541,461,2144,2064,6.455808e-8,1
396,461,381,2064,1984,6.455808e-8,1
397,381,301,1984,1904,6.455808e-8,1
398,301,221,1904,1824,6.455808e-8,1
399,221,141,1824,1744,6.455808e-8,1
400,141,1661,1744,3264,1.22660352e-6,1
401,1661,1501,3264,3104,1.2911616e-7,1
