===== JuBat Debug Log 1764687579 =====
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6737918223360341 W (nd=5.247962785876817)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6736843879344687 W (nd=5.247126011486497)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6736376821349158 W (nd=5.246762233996458)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6736497057100959 W (nd=5.246855882023944)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6737144302805824 W (nd=5.247360002326365)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6738293880560237 W (nd=5.248255374023474)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6739881666195222 W (nd=5.24949205271979)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6741879608030585 W (nd=5.251048189801416)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6744220886804095 W (nd=5.25287174174542)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6746875484780213 W (nd=5.254939328636253)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6749775722887975 W (nd=5.257198237271705)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6752891652821033 W (nd=5.2596251418125455)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6756156601201747 W (nd=5.262168112360985)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6759541995032738 W (nd=5.264804894264776)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6762982808856056 W (nd=5.267484841141439)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6766451951584979 W (nd=5.270186852554572)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6769885981423203 W (nd=5.2728615155883425)
[ThermalLumped] 内热源 Q_rxn+Q_ohm+Q_rev = 0.6773259346808116 W (nd=5.275488928895588)
