coh_id,n1_bot,n2_bot,n4_top,n3_top,length,interface_type
118,3904,3905,34192,34193,1.3512285202351276e-8,PE_PCC
119,3905,3906,34193,34194,1.3524799617631485e-8,PE_PCC
120,3906,3907,34194,34195,1.3537314041058147e-8,PE_PCC
121,3907,3908,34195,34196,1.3549828472608982e-8,PE_PCC
122,3908,3909,34196,34197,1.35623429122602e-8,PE_PCC
123,3909,3910,34197,34198,1.3574857359991017e-8,PE_PCC
124,3910,3911,34198,34199,1.3587371815777553e-8,PE_PCC
125,3911,3912,34199,34200,1.3599886279599077e-8,PE_PCC
126,3912,3913,34200,34201,1.3612400751431965e-8,PE_PCC
127,3913,3914,34201,34202,1.3624915231255538e-8,PE_PCC
128,3914,3915,34202,34203,1.363742971904644e-8,PE_PCC
129,3915,3916,34203,34204,1.3649944214783746e-8,PE_PCC
130,3916,3917,34204,34205,1.3662458718445687e-8,PE_PCC
131,3917,3918,34205,34206,1.3674973230009432e-8,PE_PCC
132,3918,3919,34206,34207,1.36874877494547e-8,PE_PCC
133,3919,3920,34207,34208,1.3700002276758484e-8,PE_PCC
134,3920,3921,34208,34209,1.3712516811900682e-8,PE_PCC
135,3921,3922,34209,34210,1.3725031354858448e-8,PE_PCC
136,3922,3923,34210,34211,1.3737545905611828e-8,PE_PCC
137,3923,3924,34211,34212,1.3750060464138136e-8,PE_PCC
138,3924,3925,34212,34213,1.3762575030417197e-8,PE_PCC
139,3925,3926,34213,34214,1.3775089604427927e-8,PE_PCC
140,3926,3927,34214,34215,1.378760418614816e-8,PE_PCC
141,3927,3928,34215,34216,1.380011877555838e-8,PE_PCC
142,3928,3929,34216,34217,1.3812633372636265e-8,PE_PCC
143,3929,3930,34217,34218,1.3825147977362363e-8,PE_PCC
144,3930,3931,34218,34219,1.3837662589714573e-8,PE_PCC
145,3931,3932,34219,34220,1.3850177209673595e-8,PE_PCC
146,3932,3933,34220,34221,1.386269183721742e-8,PE_PCC
147,3933,3934,34221,34222,1.38752064723266e-8,PE_PCC
148,3934,3935,34222,34223,1.3887721114980633e-8,PE_PCC
149,3935,3936,34223,34224,1.3900235765158207e-8,PE_PCC
150,3936,3937,34224,34225,1.391275042284025e-8,PE_PCC
151,3937,3938,34225,34226,1.3925265088005306e-8,PE_PCC
152,3938,3939,34226,34227,1.3937779760634417e-8,PE_PCC
153,3939,3940,34227,34228,1.3950294440706271e-8,PE_PCC
154,3940,3941,34228,34229,1.3962809128202253e-8,PE_PCC
155,3941,3942,34229,34230,1.397532382310088e-8,PE_PCC
156,3942,3943,34230,34231,1.3987838525383406e-8,PE_PCC
157,3943,3944,34231,34232,1.4000353235030131e-8,PE_PCC
158,3944,3945,34232,34233,1.4012867952020018e-8,PE_PCC
159,3945,3946,34233,34234,1.4025382676335131e-8,PE_PCC
160,3946,3947,34234,34235,1.403789740795421e-8,PE_PCC
161,3947,3948,34235,34236,1.4050412146859303e-8,PE_PCC
162,3948,3949,34236,34237,1.406292689302954e-8,PE_PCC
