elem,x,y,r,lam_r,lam_t,f_NE,f_SP,f_PE,f_PCC,f_NCC
3416.0,-0.005633694668931651,0.00044337684406957063,0.005651114814672057,1.3250467678464877,25.28961860052311,0.4628499021421911,0.06519012706227986,0.3973204185309551,0.04204448873343488,0.03259506353113913
3417.0,-0.005641610425505077,0.0003450511389282668,0.005652152552934437,1.3250455483863148,25.289613773486394,0.46284866336760144,0.0651899525869881,0.39732177543115743,0.04204463232075894,0.03259497629349405
3418.0,-0.00564780990419524,0.0002465841733690518,0.005653190291196816,1.3250443293761052,25.28960894822024,0.4628474250478133,0.0651897781757474,0.3973231318331999,0.04204477585536572,0.0325948890878737
3419.0,-0.0056522905852610834,0.00014800590829740706,0.005654228029459196,1.325043110815586,25.28960412472624,0.462846187182568,0.06518960382853024,0.39732448773734946,0.04204491933728729,0.03259480191426512
3420.0,-0.0056550504720426775,4.934634954485386e-5,0.005655265767721577,1.325041892704521,25.289599303002106,0.46284494977161844,0.0651894295452968,0.3973258431438858,0.042045062766549596,0.032594714772649205
3421.0,-0.0056560880917618725,-4.936446126442594e-5,0.005656303505983956,1.3250406750426513,25.289594483047182,0.4628437128147133,0.0651892553260149,0.39732719805308014,0.04204520614318312,0.032594627663008253
3422.0,-0.005655402496163471,-0.0001480964558612364,0.005657341244246336,1.3250394578297364,25.28958966486097,0.4628424763116033,0.06518908117064802,0.3973285524652053,0.042045349467218586,0.032594540585324815
3423.0,-0.005652993261996635,-0.0002468195484904038,0.0056583789825087145,1.3250382410655253,25.289584848440995,0.46284124026204126,0.06518890707916068,0.397329906380537,0.04204549273868155,0.032594453539579536
3424.0,-0.005648860491336359,-0.00034550364507858304,0.005659416720771093,1.3250370247497807,25.289580033788383,0.4628400046657742,0.0651887330515163,0.3973312597993472,0.04204563595760424,0.03259436652575816
3425.0,-0.005643004811744829,-0.000444118652407941,0.005660454459033474,1.3250358088822336,25.289575220900716,0.46283876952255193,0.06518855908768291,0.39733261272191145,0.04204577912401227,0.03259427954384146
3426.0,-0.005635427376272563,-0.0005426344872928502,0.005661492197295854,1.3250345934626522,25.289570409777852,0.46283753483212814,0.06518838518762395,0.39733396514849817,0.04204592223793785,0.03259419259381198
3427.0,-0.005626129863299288,-0.0006410210857569849,0.005662529935558233,1.3250333784907966,25.289565600417987,0.46283630059425557,0.06518821135130093,0.3973353170793849,0.042046065299406465,0.03259410567565207
3428.0,-0.005615114476214525,-0.0007392484122078995,0.005663567673820613,1.3250321639663853,25.289560792819902,0.4628350668086811,0.06518803757868691,0.39733666851484073,0.04204620830844861,0.032594018789342656
3429.0,-0.005602383942937924,-0.0008372864686063226,0.005664605412082992,1.3250309498892117,25.28955598698435,0.46283383347515866,0.06518786386973899,0.3973380194551379,0.04204635126509479,0.032593931934869494
3430.0,-0.005587941515279453,-0.0009351053036272495,0.005665643150345372,1.3250297362590044,25.289551182909292,0.46283260059343906,0.06518769022442687,0.3973393699005485,0.0420464941693721,0.032593845112213436
3431.0,-0.005571790968139562,-0.0010326750218102219,0.005666680888607751,1.3250285230755177,25.289546380593396,0.462831368163273,0.06518751664271405,0.3973407198513481,0.04204663702130777,0.032593758321357025
3432.0,-0.005553936598549509,-0.0011299657926959336,0.005667718626870131,1.3250273103385204,25.28954158003645,0.46283013618441493,0.06518734312456394,0.3973420693078047,0.042046779820933695,0.03259367156228277
3433.0,-0.0055343832245520926,-0.0012269478599462663,0.00566875636513251,1.3250260980477453,25.2895367812361,0.46282890465661625,0.06518716966994488,0.3973434182701918,0.042046922568275455,0.03259358483497164
3434.0,-0.005513136183923057,-0.0013235915504451403,0.00566979410339489,1.3250248862029625,25.289531984194028,0.46282767357962673,0.06518699627882034,0.3973447667387771,0.0420470652633649,0.03259349813941097
3435.0,-0.005490201332733506,-0.001419867283377293,0.005670831841657269,1.3250236748039057,25.289527188905602,0.4628264429532026,0.06518682295115705,0.39734611471383735,0.042047207906225945,0.03259341147557693
3436.0,-0.005465585043753729,-0.0015157455792821708,0.005671869579919649,1.3250224638503623,25.28952239537329,0.46282521277709493,0.06518664968691544,0.397347462195639,0.04204735049689366,0.03259332484345692
3437.0,-0.005439294204698856,-0.0016111970690802116,0.005672907318182029,1.3250212533420658,25.28951760359437,0.4628239830510571,0.06518647648606392,0.3973488091844551,0.04204749303539193,0.032593238243031966
3438.0,-0.00541133621631679,-0.0017061925030688167,0.005673945056444409,1.3250200432787675,25.28951281356799,0.46282275377484183,0.06518630334856933,0.39735015568055304,0.04204763552175256,0.03259315167428306
3439.0,-0.005381718990318972,-0.0018007027598852096,0.0056749827947067885,1.3250188336602315,25.28950802529428,0.46282152494819967,0.06518613027439349,0.3973515016842084,0.042047777956000836,0.03259306513719754
3440.0,-0.005350450947154566,-0.0018946988554333387,0.005676020532969168,1.3250176244862124,25.289503238771236,0.46282029657088913,0.06518595726350358,0.39735284719568503,0.04204792033816874,0.03259297863175339
3441.0,-0.00531754101362864,-0.0019881519517722514,0.005677058271231546,1.3250164157564508,25.289498453997048,0.4628190686426622,0.06518578431586625,0.397354192215257,0.04204806266828146,0.03259289215793312
3442.0,-0.005282998620365052,-0.002081033365963123,0.005678096009493926,1.3250152074707082,25.28949367097279,0.462817841163268,0.06518561143144685,0.3973555367431917,0.042048204946370765,0.03259280571572263
3443.0,-0.005246833699114767,-0.0021733145788721516,0.005679133747756306,1.3250139996287542,25.289488889696166,0.4628166141324661,0.06518543861020605,0.39735688077976267,0.042048347172462044,0.032592719305103025
3444.0,-0.005209056679910321,-0.002264967243926806,0.005680171486018686,1.3250127922303374,25.28948411016636,0.46281538755001117,0.06518526585211247,0.3973582243252338,0.04204848934658704,0.03259263292605544
3445.0,-0.005169678488067264,-0.002355963195822641,0.0056812092242810655,1.3250115852751938,25.289479332382832,0.46281416141565107,0.0651850931571345,0.39735956737987793,0.042048631468770886,0.03259254657856565
3446.0,-0.005128710541033487,-0.0024462744591779153,0.005682246962543444,1.3250103787631127,25.289474556344828,0.4628129357291462,0.0651849205252313,0.39736090994396234,0.04204877353904534,0.03259246026261485
3447.0,-0.005086164745087262,-0.0025358732571335225,0.005683284700805824,1.3250091726938213,25.289469782050556,0.462811710490247,0.06518474795637297,0.39736225201775877,0.042048915557435534,0.032592373978185686
3448.0,-0.005042053491884994,-0.002624732019895487,0.005684322439068205,1.3250079670670907,25.28946500949952,0.4628104856987126,0.06518457545052356,0.39736359360153134,0.0420490575239716,0.03259228772526098
3449.0,-0.004996389654859714,-0.002712823393217347,0.005685360177330584,1.3250067618826833,25.289460238691127,0.4628092613542965,0.06518440300764694,0.39736493469554984,0.042049199438683516,0.03259220150382347
