node_id,x,y
322,5.889940096170688e-7,4.635483386633873e-8
323,5.843384200908052e-7,9.25501136262059e-8
324,5.760603807190154e-7,1.3829986135824063e-7
325,5.642011765375312e-7,1.833200748948235e-7
326,5.488243539075094e-7,2.2733049074914023e-7
327,5.300153877305994e-7,2.700563286723964e-7
328,5.078812119799709e-7,3.112300069827891e-7
329,4.825496160870344e-7,3.5059281795988957e-7
330,4.5416851056211673e-7,3.878965528168139e-7
331,4.2290506604703057e-7,4.229050660470305e-7
332,3.8894473079331263e-7,4.553957692911088e-7
333,3.5249013232690724e-7,4.851610452792439e-7
334,3.137598697933523e-7,5.120095728755886e-7
335,2.729872041725409e-7,5.357675547775058e-7
336,2.304186542043048e-7,5.562798400037868e-7
337,1.8631250647145628e-7,5.734109339370568e-7
338,1.4093724864144253e-7,5.87045889363375e-7
339,9.456993536797093e-8,5.970910726722468e-7
340,4.7494496796552187e-8,6.03474800138588e-7
341,-4.45765401015519e-22,6.0614784e-7
342,-4.762112601101907e-8,6.050837768632014e-7
343,-9.50748908034109e-8,6.002792358176074e-7
344,-1.420675574770992e-7,5.917539644966723e-7
345,-1.8830746085587679e-7,5.795507722034075e-7
346,-2.3350681765946618e-7,5.637353261000655e-7
347,-2.773835174227537e-7,5.443958053478676e-7
348,-3.1966288301799434e-7,5.216424149653665e-7
349,-3.60079389794968e-7,4.956067620480893e-7
350,-3.9837833258179907e-7,4.6644109785203854e-7
351,-4.3431743008412555e-7,4.343174300841273e-7
352,-4.6766835658102905e-7,3.994265105582994e-7
353,-4.982181912402988e-7,3.6197670416198586e-7
354,-5.257707758609854e-7,3.221927458285558e-7
355,-5.501479723947749e-7,2.8031439292289644e-7
356,-5.711908121963438e-7,2.365949811146289e-7
357,-5.88760529602933e-7,1.9129989243250964e-7
358,-6.027394731410314e-7,1.4470494476030332e-7
359,-6.130318883990487e-7,9.709471254517818e-8
360,-6.195645673847205e-7,4.87607889412348e-8
361,-6.222873600000001e-7,6.85874001216471e-22
