capacity [A.h],voltage [V],temperature [K],temperature max [K]
1.2606249999999966,3.9071069362614494,300.66120923092865,301.07994267724223
1.2647916666666632,3.9064537123928673,300.6652866541665,301.0850244725934
1.2689583333333299,3.905801005918107,300.66934826147326,301.0900880733156
1.2731249999999965,3.9051487198461254,300.67339412474627,301.0951335568018
1.2772916666666632,3.9044968291063955,300.6774243155424,301.10016100009653
1.2814583333333298,3.9038452326329116,300.681438905081,301.1051704798918
1.2856249999999962,3.9031939004569427,300.68543796424507,301.1101620725703
1.289791666666663,3.902542727229489,300.6894215635841,301.1151358541539
1.2939583333333295,3.901891677881218,300.69338977331614,301.1200919003441
1.2981249999999962,3.90124064256815,300.69734266333,301.1250302865167
1.3022916666666629,3.9005895809152116,300.7012803031871,301.12995108772543
1.3064583333333295,3.8999383783702495,300.7052027621234,301.1348543787037
1.3106249999999962,3.8992869890476594,300.7091101090516,301.13974023384316
1.3147916666666628,3.8986352934762087,300.7130024125628,301.14460872720974
1.3189583333333295,3.897983240059144,300.7168797409297,301.1494599325657
1.323124999999996,3.8973307042017242,300.720742162108,301.1542939233575
1.327291666666663,3.8966776284042846,300.72458974373774,301.15911077271244
1.3314583333333296,3.896023882755697,300.7284225531458,301.1639105534448
1.3356249999999963,3.895369403676023,300.7322406573478,301.16869333804925
1.3397916666666627,3.894714055762574,300.7360441230503,301.1734591987115
1.3439583333333294,3.894057769198745,300.7398330166526,301.1782082073241
1.348124999999996,3.8934004029399776,300.7436074042486,301.18294043547365
1.3522916666666627,3.8927418808054477,300.74736735162844,301.1876559544129
1.3564583333333293,3.892082055991587,300.75111292428085,301.1923548351031
1.360624999999996,3.891420845863658,300.7548441873942,301.1970371482325
1.3647916666666626,3.8907580977849023,300.7585612058599,301.2017029641677
1.3689583333333293,3.89009372262516,300.76226404427274,301.20635235297055
1.373124999999996,3.8894275618943817,300.76595276693337,301.2109853844111
1.3772916666666626,3.8887595199855127,300.7696274378495,301.21560212797425
1.3814583333333292,3.8880894326016717,300.7732881207392,301.2202026528579
1.3856249999999959,3.887417197750817,300.77693487903093,301.2247870279505
1.3897916666666625,3.886742645456317,300.78056777586636,301.2293553218534
1.3939583333333292,3.886065667521171,300.78418687410186,301.2339076029099
1.398124999999996,3.8853860885122304,300.7877922363097,301.23844393915255
1.4022916666666627,3.8847037943118385,300.79138392478086,301.24296439831846
1.4064583333333294,3.884018604366529,300.794962001526,301.24746904789816
1.410624999999996,3.8833303990441124,300.7985265282769,301.2519579550735
1.4147916666666627,3.882638993137974,300.80207756648934,301.25643118673963
1.4189583333333293,3.881944262047769,300.8056151773441,301.2608888095422
1.423124999999996,3.8812460165308327,300.80913942174783,301.2653308898502
1.4272916666666626,3.8805441277244848,300.8126503603356,301.26975749373605
1.4314583333333293,3.879838403136335,300.8161480534727,301.27416868700317
1.435624999999996,3.879128710526055,300.8196325612557,301.2785645351948
1.4397916666666626,3.8784148551262527,300.8231039435145,301.2829451035791
1.443958333333329,3.877696702401321,300.8265622598136,301.2873104571511
1.4481249999999957,3.876974056490401,300.83000756945364,301.2916606606582
1.4522916666666623,3.876246781860151,300.8334399314728,301.295995778571
1.456458333333329,3.8755146829609854,300.83685940464943,301.30031587508574
1.4606249999999956,3.874777624789748,300.84026604750295,301.30462101414173
1.4647916666666623,3.874035413749522,300.84365991829486,301.30891125943555
1.4689583333333291,3.873287917137029,300.847041075031,301.31318667438984
1.4731249999999958,3.8725349451952065,300.8504095754625,301.3174473221549
1.4772916666666625,3.871776369538465,300.8537654770885,301.32169326565054
1.481458333333329,3.8710120063857327,300.8571088371557,301.3259245675429
1.4856249999999958,3.870241733934685,300.86043971266116,301.33014129021427
1.4897916666666624,3.8694653767609637,300.86375816035405,301.3343434958309
1.493958333333329,3.8686828221500065,300.8670642367366,301.33853124629775
1.4981249999999955,3.8678939056457002,300.8703579980648,301.342704603248
1.5022916666666624,3.867098526345618,300.8736395003511,301.3468636280887
1.506458333333329,3.8662965335795265,300.8769087993654,301.3510083819824
1.5106249999999957,3.86548784117044,300.88016595063607,301.3551389258379
1.5147916666666623,3.8646723152202607,300.8834110094519,301.3592553203156
1.518958333333329,3.8638498873354497,300.88664403086375,301.36335762585327
1.5231249999999956,3.8630204434935482,300.8898650696846,301.36744590263265
1.5272916666666623,3.862183936228472,300.8930741804928,301.37152021059836
1.5314583333333291,3.8613402745481062,300.8962714176322,301.37558060946424
1.5356249999999958,3.8604894350703587,300.8994568352136,301.37962715869935
